sentence,polarity,aspects
you can always chew quickly and well on chop chop,0.3333333333333333,chop
a little difficult to understand the express terminal the first time,-0.14583333333333334,time
fast and easy at checkout,0.31666666666666665,checkout
"The food is delicious and the staff is very, very friendly! a stop is worth it 🤗🤗",0.5895833333333333,"food, staff"
"fast food, perfectly okay taste",0.35,"food, taste"
quite expensive though.,-0.5,
very delicious food😋,1.0,food😋
"after they removed the vegan bowl and replaced king pao tofu (think it's called that, it was at least tofu with peanuts) it has become much more boring to eat there as a vegan",-0.4,"bowl, king, pao, tofu, think, call, tofu, peanuts, bore"
will unfortunately not eat there again until there is more variety.,0.25,variety
"always just as good, nice and comfortable environment.",0.5666666666666665,environment
the world's best chopchop!,1.0,"world, chopchop"
"good food, fast service
bea",0.44999999999999996,"food, service, bea"
great food and pretty fast,0.4166666666666667,food
"very good food🥰
and very nice staff 😍😍",0.6499999999999999,"food🥰, staff"
"easy to park.
friendly staff
hot food",0.3527777777777778,"park, staff, food"
"always for good food, love my baked sundays at chopchop it's hard to beat with a combo chow mein orange chicken with spicy lime chicken! of course, spicy karage should be on the bill! thank you so much for the times i spent here!",0.19305555555555554,"food, love, sundays, chopchop, beat, combo, chow, mein, orange, chicken, lime, chicken, course, karage, bill, time"
"mixed up orders, slow pace",-0.30000000000000004,"mix, order, pace"
i've waited 45 minutes for food when it wasn't busy,0.1,"minutes, food"
ordered via the qr code in the parking lot,0.0,"order, qr, code, park"
be simple and go fast,0.1,go
good and tender food :),0.6,"tender, food"
very good food and it is quick to get the food,0.5166666666666666,"food, food"
good with screens where you can order yourself,0.7,"screen, order"
very vegetarian to choose from.,0.0,vegetarian
very good layout with the prevailing pandemic,0.7,"layout, pandemic"
the food was quick to get,0.3333333333333333,food
"had recommended a friend.
5/5 spicy chicken karaage",0.5,"friend, chicken, karaage"
"always just as good food at chopchop, the spring rolls are too die for!

also fun that they have come up with sushi in some places now",0.5875,"food, chopchop, spring, roll, sushi, place"
keeps even and good level for what it is!,0.875,level
well received and good,0.7,
"took a strong steak variant and a strong chicken variant, the steak was super tasty and the vegetables were just as crispy as you want them to be.
unfortunately, i did not think the chicken was as good, it was fried and then fried in a splash of sauce that was barely noticeable or tasted something to be ""strong"".
4/5 when the steak was superb and the wait time short, next time i will try something else 👌",0.31794871794871793,"steak, variant, chicken, variant, steak, vegetables, want, chicken, good, fry, fry, splash, sauce, taste, steak, wait, time, time, try"
