sentence,polarity,aspects
fast and tasty and some vegan options.,0.35,options
"they have some vegetarian,",0.0,
nothing to cheer about.,0.0,"nothing, cheer"
fantastic good food,0.55,food
they failed to send with everything that was on the receipt.,-0.5,"send, receipt"
"good and fresh room, clearly 5 stars",0.3666666666666667,"room, star"
great fast food!,0.525,food
hello i want to join,0.0,
i love it,0.5,love
"love the spicy chicken karage, exactly the asia taste, the spice is 👍",0.25,"chicken, karage, asia, taste, spice"
"place is clean, great for everyone in family",0.5833333333333334,"place, everyone, family"
toilet is clean too,0.16666666666666669,toilet
"the place has hygiene standards, very clean, fresh and user friendly",0.34722222222222227,"place, hygiene, standards, user"
i like the pha thai noodles and their lemon chicken is great,0.4666666666666666,"noodles, lemon, chicken"
crispy shrimp too,0.0,shrimp
their fried rice and noodles are good,0.7,"fry, rice, noodles"
i basically like everything aside from their 8kronor samba chili sauce,0.6,"samba, chili, sauce"
"that one is not so tasty, too dry for my taste",-0.15833333333333333,taste
i am from south east asia so these are the taste that i recognize and i am just happy that the owner keeps the standards well and able to eat it at nordic is a bless! polite staff too,0.7125,"east, asia, taste, owner, keep, standards, staff"
i will come back very often!,0.0,
only 2 vegetarian dishes,0.0,dish
poor selection for vegetarians,-0.4,"selection, vegetarians"
totally ok as chop chop.,0.5,"chop, chop"
good food and fresh,0.5,food
tasted delicious 😁,1.0,"taste, 😁"
not my asian favorite,0.25,favorite
the kids like it.,0.6,
fast service and fresh food,0.25,"service, food"
fresh and good 🥰,0.5,🥰
very good food at a not too expensive cost,0.475,"food, cost"
"always good food to good service, fast easy to good",0.5466666666666666,"food, service"
very good food 👍,0.7,food
friendly staff and great food in large portions!,0.48095238095238096,"staff, food, portion"
cozy and quiet,0.2,quiet
friendly staff who are service-oriented,0.375,staff
"nice atmosphere, good food",0.6499999999999999,"atmosphere, food"
"great value for money.
got the food quickly, and you have taken part in covid restrictions well.

very good restaurant",0.48333333333333334,"value, money, food, part, covid, restrictions, restaurant"
data naïve 👍,0.0,data
great good service and good food!,0.7916666666666666,"service, food"
the orange chicken is super tasty,0.27777777777777773,chicken
good food👌 the best are orange chicken and peanut chicken👍🏼,0.5666666666666667,"food👌, orange, chicken, peanut, chicken👍🏼"
super happy with the food!,0.6666666666666666,food
in örebro-eurostop it is really bad with how much they put,-0.24999999999999992,
"whether it's kids, singles or combo, there is always very little for the money compared to örebro-krämaren",-0.1294642857142857,"kid, combo, money"
the base is usually good,-0.050000000000000044,base
there is always very little in the dish,-0.1875,dish
always gets disappointed and shocked by the crowd,-0.05,"shock, crowd"
it costs more now than before and there is less food than before,-0.16666666666666666,food
it seems that the staff has been told to skimp a bit on the food,0.0,food
"if you pay for the food, you should get what you paid for! it is really always disappointing to eat in örebro-eurostop.",0.2,"pay, food, örebro-eurostop"
always good and fast food!,0.475,food
very good food,0.7,food
new and fresh place.,0.21818181818181817,place
a little bit of food,-0.1875,food
quickly good and easy,0.5666666666666667,
easily the best fast food,0.6,food
"wonderfully good food, good service from staff and got the food quickly without any problems.

a top place simply.",0.2833333333333333,"food, service, staff, food, problems, place"
"if you are going to call it asian express, you have to make sure that you have staff who want to live up to the reputation",0.21212121212121213,"staff, reputation"
made the order myself via the cash register and waited,0.0,"order, cash, register, wait"
i was first,0.25,
it took 7-8 minutes before my order was noticed,0.0,"minutes, order, notice"
the staff walked around and cleaned,0.3666666666666667,staff
(that it should be clean is important),0.38333333333333336,
"once they took my order, it was done in 30 seconds",0.0,"order, second"
"while waiting, they missed another customer who wanted to order something extra",0.0,"customer, order"
he gave up,0.0,
chop chop örebro,0.0,"chop, chop, örebro"
"atmosphere:
very nice atmosphere with a well thought out decor",0.6,"atmosphere, atmosphere, decor"
self-ordering was quick and easy,0.3833333333333333,
they have large touch screens which i can imagine makes it easier for those who see a little bad,-0.22440476190476186,"touch, screen"
"5/5

the food:
ordered yakunikun which was a big disappointment",-0.3,"food, order, yakunikun, disappointment"
"the meat was dry, making the whole dish ...
2/5

the company ordered steak with bamboo shoots, which was to her satisfaction",0.06666666666666668,"meat, dry, dish, company, order, steak, bamboo, shoot, satisfaction"
super good food!,0.6041666666666666,food
good service and good food,0.7,"service, food"
"very good food, good service and clean restaurant",0.5888888888888889,"food, service, restaurant"
nicely treated and fast service ~,0.4,service
fast service and well-cooked food,0.2,"service, food"
well arranged with distance between the tables.,0.0,"distance, table"
superb food and service.,1.0,"food, service"
clean and fresh,0.33333333333333337,
very good fast food.,0.44999999999999996,food
"best customer service they put a very good amount of food, with good and suitable prices",0.7375,"customer, service, food, price"
everything they add is both fried and deep fried,0.0,"fry, fry"
you can never leave without a smile on your face,-0.16666666666666666,"smile, face"
the food is good,0.7,food
the tofu is a little weird,-0.34375,tofu
"good place, fast service",0.44999999999999996,"place, service"
not the best padthai,-0.5,padthai
the others was super.,0.3333333333333333,others
affordable and good fast food,0.44999999999999996,food
try orange chicken,0.0,chicken
super tasty and fast.,0.3444444444444444,fast
"very good food, nice decor and good and friendly staff.",0.59375,"food, decor, staff"
"great food, pretty quick, really hygienic.",0.3958333333333333,food
"great food and nice restaurant,",0.7,"food, restaurant"
"the fried banana could be more fried, the surface was barely brown.",0.05,"fry, banana"
they are professionals and i get the urge to eat there every day and every meal and they have fantastic service and great food and they cook it perfectly.,0.7333333333333334,"professionals, day, meal, service, food, cook"
"fast, cheap and good",0.43333333333333335,good
it is not easier to describe chop chop,0.0,"chop, chop"
super nice staff every time i have been there,0.4666666666666667,"staff, time"
add good food to good money on it and i'm more than happy,0.7333333333333334,"food, money"
the favorite is probably spicy lime chicken,0.25,"lime, chicken"
chicken karaage is also always something to order,0.0,"chicken, karaage, order"
awesome asian food on real porcelain,0.39999999999999997,"food, porcelain"
good quality! take this every day of the week instead of max or mcdonalds.,0.6625,"quality, day, week, max, mcdonalds"
"fast and good service, good food, clean :)",0.49333333333333335,"service, food"
good and tasty food to be a big chain! okay price,0.425,"food, chain, price"
"however, i wish you could choose smaller portions",0.0,"wish, portion"
fun thing to get a lucky cake too;),0.29444444444444445,cake
good food & friendly service,0.5375,"food, service"
something expensive for what it is.,-0.5,
smooth and good!,0.6375,good
very yummy food 👍,0.0,food
the eight-year-old and six-year-old appreciated their baby portions,0.2,"six-year-old, baby, portion"
my husband and i shared a combo and it was just right with food,0.2857142857142857,"husband, share, combo, food"
the children really appreciated the layout and want to go there again soon,0.2,"children, layout, want"
great service and great food!,0.9,"service, food"
it was a very messy and unclear website,-0.2,website
"there were better menus inside the restaurant :)
it is reasonably priced because it was very good food :)",0.48,"menus, restaurant, food"
good food in a relaxed environment,0.7,"food, environment"
the staff were very kind and you really feel that they cared about our problems which they fixed quickly,0.37777777777777777,"staff, kind, care, problems"
i really recommend.,1.0,
with high quality 👍,0.33,quality
easy to order and get ready-made food when we arrived! fresh and tasty.,0.44722222222222224,"order, food"
nice and fast service,0.4,service
will drive driven more times!,0.0,"drive, drive, time"
"if you want to wait 20+ minutes for the smallest thing, it is recommended",1.0,minutes
the food came quickly and tasted very good !!,0.6666666666666666,food
good food and nice staff.,0.6499999999999999,"food, staff"
best chop chop <3,1.0,"chop, chop"
spicy lime chicken with noodles is the favorite!,0.3125,"lime, chicken, noodles"
nice staff and good food 👍😊,0.6499999999999999,"staff, food, 👍😊"
"they do not take cash and it is expensive too
as well as long waiting times for food",-0.275,"cash, wait, time, food"
"always happy with the visits here, nice, service-oriented staff and good food!",0.7583333333333333,"visit, staff, food"
very good food for a good price!,0.7875,"food, price"
high class restaurant! always just as good.,0.44999999999999996,"class, restaurant"
very good food at a good price! friendly staff and good service,0.6625,"food, price, staff, service"
always just as good and nice fresh ingredients,0.5333333333333333,ingredients
"very good and good food, especially like peanut chicken with rice! friendly staff and fresh restaurant.",0.5125,"food, peanut, chicken, rice, staff, restaurant"
friendly staff and incredibly good and fresh food !!,0.5145833333333333,"staff, food"
"beautifully spiced, clean and fresh",0.5055555555555556,
really good food,0.7,food
"super good food, good variety of dishes! fast service and friendly staff !! highly recommend !!",0.6157118055555556,"food, variety, dish, service, staff"
it was so delicious,1.0,
one of the tastiest asian restaurants,0.0,restaurants
there is only one problem which is the amount of food you get when you bring is much less than if you were to eat at the restaurant.,-0.16666666666666666,"problem, food, restaurant"
"a little cold rice,",-0.39375,rice
and omg @chopchop what a good era spicy karaage is ❤️ good sting,0.7,"era, sting"
"no matter where in the country you visit this restaurant, the quality is just as high",0.33,"matter, country, visit, restaurant, quality"
"sickly good, fresh and nice",0.5333333333333333,nice
highly recommend bangkok beef👌,1.0,"bangkok, beef👌"
"alone in the drive,",0.0,drive
looooong wait for the food…,0.0,"wait, food…"
"fantastic food, nice environment",0.5,"food, environment"
perfect place for go and easy to get asian style food,0.4777777777777778,"place, style, food"
"super friendly staff, clean environment and reasonable prices",0.31875,"staff, environment, price"
the food portions are big and filling,0.0,"food, portion, fill"
good service and good food,0.7,"service, food"
"clean place, kind stuff, good food",0.5555555555555555,"place, stuff, food"
"good food, friendly staff, tip top",0.525,"food, staff, tip, top"
coziest chopchop restaurant i've been to so far,0.35,restaurant
"the food is of top quality, the order works flawlessly.

the only criticism i have is that the expressbox is no longer available :(
4/5",0.32999999999999996,"food, quality, order, work, criticism, expressbox"
top places friendly staff etc.,0.4375,"place, staff"
very good fast delivery,0.44999999999999996,delivery
the top! good service and food above expectations.,0.6625,"service, food, expectations"
best solid good place i have eaten at,0.5666666666666667,place
ate it in eskilstuna for the first time 8 years ago,0.25,"eskilstuna, time, years"
"and now there is in örebro, so thankful so much better than all the burgers hook there are",0.5,burgers
"good quality and cruel chicken, is always fresh and clean restaurant",0.14444444444444446,"quality, chicken, restaurant"
clean & tidy! nice staff 😀,0.5722222222222223,staff
great food and service!,1.0,"food, service"
super good service and good food!,0.6361111111111111,"service, food"
small portions (compared to what i am used to at chinese rest.) fast service,-0.016666666666666663,"portion, use, rest, service"
"useless service, poor pretend asian food.",-0.3,"service, food"
the best noodles in town,1.0,"noodles, town"
gott mm gottinamnam i min mage mm,0.0,"gott, mm, gottinamnam, min, mage, mm"
"great food, nothing to complain about",0.8,"food, nothing"
"the customer service varies between times, not all times you get a good reception which is why i give 4",0.7,"customer, service, time, time, reception"
the last visit was nice!,0.325,
good food good service 🙌 🙌,0.7,"food, service"
a fresh restaurant with good service,0.5,"restaurant, service"
the food was amazingly good!,0.875,food
it was very good and good service! will definitely come several times,0.39375,"service, time"
the taste really depends if you get it hot or cold,-0.04999999999999999,"taste, cold"
in this case it was cold and my cashew chicken had 4 cashews,-0.3,"case, cashew, chicken, cashews"
recommend going at busy times to avoid being disappointed.,0.55,"time, avoid"
clean food and family friendly.,0.37083333333333335,"food, family"
hit the spot 10/10,0.0,spot
very good customer service and good food! thanks so much! :),0.58125,"customer, service, food"
"i have eaten here very many times, and it has always been a prio 1 place to go",0.5,"time, place"
the staff is very nice and the food is just the best,0.8,"staff, food"
almost every friday there will be a drive to chop chop! sweden's best fast food restaurant !!!!,0.744140625,"friday, drive, chop, chop, sweden, food, restaurant"
super good food!,0.6041666666666666,food
"a visit to chop chop my life gilds, and the good food, my stomach fills.
the staff and service are also good,
if i could i would go there every single day",0.44285714285714284,"visit, chop, chop, life, gild, food, stomach, fill, staff, service, day"
"top, top, top!",0.5416666666666666,
"the food at chop chop is healthy and delicious!
having lunch there every day is a pleasure!
therefore, the rating can only be top top!",0.65625,"food, chop, lunch, day, pleasure, rat, top, top"
"nice response, good price!",0.7375,"response, price"
nice staff and good 😋,0.6499999999999999,staff
great service and food!,1.0,"service, food"
very good food is recommended 👍,0.85,food
"nice, fresh and good",0.5333333333333333,good
also nice staff.,0.6,staff
is usually good,0.7,
has for me that the food was a little tastier once or twice when i ate from here,-0.1875,food
plus on the edge because it is possible to buy leftover food as it is climate-smart and good for people like me who are stingy,0.17499999999999996,"leftover, food, climate-smart, people"
absolutely fantastic here at chopchop☺️,0.4,chopchop☺️
really good food !!,1.0,food
"got the food very quickly and they were super good, however, they call rice chips shrimp chips",0.37777777777777777,"food, rice, chip, shrimp, chip"
"it is very good food and good staff, nice!",0.7166666666666667,"food, staff"
