sentence,polarity,aspects
good sushi in a modern vintage,0.44999999999999996,"sushi, vintage"
very good service too.,0.7,service
"when this place opened, you got a little bigger pieces",-0.021875,"place, piece"
"it's a perfectly ok layout,",0.5,layout
i feel that there is a bit of cheating here and there,0.0,"feel, cheat"
such as avocado sushi's seagrass which should be wrapped completely around …,0.1,"avocado, sushi, seagrass, wrap"
"have been very satisfied before, very good!",0.875,
"worse the last few times, today the rice was very wet and the salmon tough (salmon pieces), smelled sour dishcloth !!",-0.24465277777777777,"time, today, rice, salmon, tough, salmon, piece, smell, dishcloth"
nice and good 🙂,0.6499999999999999,🙂
ordered online and chose to pick up as soon as possible,0.0,pick
"after i ordered and paid, i was told that the order takes about an hour",0.0,"order, pay, order, take, hour"
and that the staff is not service-minded at all.,0.0,staff
i ordered 10 pieces of sushi to bring,0.0,"order, piece, sushi"
when i got home i noticed that 1 piece was missing and the avocado was old and brown.,0.1,"home, notice, piece, brown"
"the customer service is absolutely terrific, as is the food, tasty, delicious and fresh",0.45,"customer, service, food"
"though the prices on the other hand, not worth the praise",-0.15,"price, hand, praise"
"1 piece of sushi equates around 10sek or 1 euro if you will.

in general the place is great, its cozy with a welcoming atmosphere to it., as is the food and the employees.

but because of no competition of similar caliber they can let themselves sell at these prices.",0.41,"piece, sushi, 10sek, euro, place, atmosphere, food, employees, competition, caliber, let, sell, price"
was advised to try sushi at this restaurant,0.0,"advise, try, sushi, restaurant"
definitely a new favorite restaurant,0.3181818181818182,restaurant
"affordable, nice and really super good! (at 14 pieces of sushi with a really good mix of pieces) +++++",0.6270833333333333,"piece, sushi, mix, piece"
very good sushi!,0.875,sushi
cannon good! high quality,0.5116666666666666,"cannon, quality"
"extremely good sushi! with nicest people

bought a sushi during the day",0.875,"sushi, people, sushi, day"
it was obviously good and very nice service,0.6499999999999999,service
got the food in just three minutes even they have said 5 minutes 😂 very good vibe music!,0.4875,"food, minutes, minutes, vibe, music"
fully satisfied with this place! really fresh premises and pleasant staff,0.5166666666666666,"place, premise, staff"
it was also quick to get the food,0.3333333333333333,food
"after ordering and sitting us down, it only took five minutes for them to come out with the sushi",0.0,"order, minutes, sushi"
"happened to get two pieces too little, something i myself did not even notice",-0.1875,piece
"one of the staff came out and pointed it out to me, and then suddenly i got my two missing pieces plus an extra",0.05,"staff, point, piece"
really good service then! :),0.6875,service
my favorite sushi place,0.5,"sushi, place"
sushi is really good and the place that made it impossible for me to eat sushi in the asian buffets anymore in sweden😂,0.011111111111111108,"sushi, place, sushi, buffet, sweden😂"
and now they have ramen also in menu between friday and sunday! tried one was really good!,0.875,"menu, friday, sunday"
"took lunch sushi, extremely good!",0.875,"lunch, sushi"
incredibly good sushi..fast service,0.44999999999999996,"sushi, service"
"if you are not hungry for pizza, burgers or subway, you can eat misora",0.0,"pizza, burgers, subway, misora"
not being able to make a vegan bowl of sauce in 2021 is shameful.,-0.25,"bowl, sauce"
"under all criticism! i ordered hawaii poke which contains marinated salmon, among other things, the salmon was totally unmarinated! not the first time it goes wrong and i got no response to my dissatisfaction",-0.13125,"criticism, order, hawaii, salmon, salmon, time, response, dissatisfaction"
worst service and food!,-1.0,"service, food"
"good sushi for a reasonable price.
however, completely impossible to be in the return due to the music",0.02708333333333332,"sushi, price, return, music"
"the music is very loud and adds a lot, it jumps in the songs, skips some beats and so on",0.1,"music, add, jump, songs, beat"
pure torture and i longed every second to finally finish the food so i could leave,-0.06714285714285714,"torture, second, food"
do not understand how the staff can be there for a long time without going crazy,-0.31666666666666665,"staff, time"
next time it will be take away.,0.0,time
one of the best sushi in the stockholm area,1.0,"sushi, stockholm, area"
"good sushi! try grilled salmon, yummy!",1.0,"sushi, grill, salmon"
