sentence,polarity,subjectivity
"Tasty, clean and pleasant",0.55,0.8333333333333334
Unique and fun interior adds nicely to the ambiance,0.425,0.7333333333333334
Convenient location close to the highway.,0.0,0.0
I like the concept and flavors,0.0,0.0
Only reason that I mark 3 stars,0.0,1.0
of 4 is there is something with their cooking oil,0.0,0.0
"Everytime I have eaten here, I have to visit the bathroom not more than 30 minutes later",-0.125,0.25
"Without going into detail, …",0.0,0.0
"Mixed up orders, slow pace",-0.15000000000000002,0.32499999999999996
Ive waited 45 minutes for food when it wasnt busy,0.1,0.3
"As fast food goes, it is really delicious eating!",0.6,0.8
"Good food, cold temperature inside",0.04999999999999999,0.8
Decently good food and fast service,0.44999999999999996,0.6000000000000001
"Incredible amounts of food, to the point of being excessive.",0.325,0.95
"good asian food! even as a person who doesnt always like vegan/vegeteran food, the ones here were really good for once",0.4666666666666666,0.4000000000000001
we were a bit skeptical at first,-0.125,0.41666666666666663
"food looked sloppy and cheap,",-0.008333333333333331,0.725
it tasted alright and it was a decent drive through fast food.,0.18333333333333335,0.6333333333333333
It is ok nothing more,0.5,0.5
"The Sambal Oelek was disgusting, the spring rolls are more meh than any Asian buffet you'd find",-0.16666666666666666,0.5
The rice and noodles and main dishes are okey for the price,0.16666666666666666,0.3333333333333333
definately not more than that,-0.25,0.5
Plus for the fortune cookies.,0.0,0.0
Average taste,-0.15,0.39999999999999997
"cost-effective, convenient location",0.0,0.0
"Efficient and polite staff, clean washrooms.",0.3666666666666667,0.7000000000000001
Better than the burgers next door...,0.25,0.25
"Nice variant of asian fastfood, semi buffet like type of resturant",0.3,0.5
"Especially if you need to stop and good food, and also not going the whole way to tuna park",0.3,0.6666666666666666
"Food was good, the place clean",0.5333333333333333,0.6500000000000001
i can recommend it.,0.0,0.0
Second time to come here,0.0,0.0
"We were turned away first time 30mins before closing as staff did not want to make any more food.
Second time, the would not accept cash or debit card.
Poor.",0.0875,0.3583333333333333
Very delisious food😋,0.2,0.3
Simply the best fulfilling meal everytime,0.5,0.32857142857142857
"Very chopi chop, I got stick and kicken",0.2,0.3
"If you like kicken, stick and brown spaggeti go to chopi chopi chopi chop 1/10",0.0,0.0
Good for Fastfood,0.7,0.6000000000000001
"Service is ok, quick and looks tasty",0.41666666666666663,0.5
"taste, well not so much",0.2,0.2
Very good Chinese place and quite local to the area,0.3033333333333333,0.26000000000000006
Quite a few good options for being fast food.,0.2333333333333333,0.43333333333333335
"Good asian food, try there orange chicken with nuddles",0.033333333333333326,0.5166666666666667
Best fast food in Eskilstuna! So tasty every time!,0.65625,0.44999999999999996
Affordable and fresh Asian cuisine,0.15,0.25
4 stars since the rice was a bit dry.,-0.06666666666666665,0.6
Gooood Asian food with lots of variations in taste and spicy ness!,0.0,0.0
"The food so good , the place clean , the waithers give a good services that's it .",0.5888888888888889,0.6333333333333334
Very good food,0.9099999999999999,0.7800000000000001
no AC for the summer.,0.0,0.0
Large and tasty portions of food,0.21428571428571427,0.42857142857142855
Lots of value for the money.,0.0,0.0
Orange chicken 😍,-0.6,0.95
Ok fast food,0.35,0.55
"Delicious, fast service, yummy",0.6,0.8
"Delicious, very satisfying food for the reasonable price.",0.6166666666666666,0.8666666666666667
Close to flawless food and usually short wait time,0.5,0.65
Amazing Asian fast food,0.26666666666666666,0.5
Good food and nice staff.,0.6499999999999999,0.8
Thai fast food...really good,0.44999999999999996,0.6000000000000001
Great concept good food.,0.75,0.675
Tasty And opens will into 11:30,0.0,0.0
Asian fast food,0.1,0.3
Fast and really tasty,0.2,0.4
Really good asian fastfood.,0.35,0.30000000000000004
had a delicious meal 🤗,1.0,1.0
Poor customer service,-0.4,0.6
Approved by Lezog,0.0,0.0
God Take Away,0.0,0.0
"Took a strong steak variant and a strong chicken variant, the steak was super tasty and the vegetables were just as crispy as you want them to be",0.14999999999999997,0.7708333333333333
"Good that you can order via screens, relatively short waiting time depending on people.
Good food for both vegans and vegetarians",0.4666666666666666,0.5000000000000001
"It is an ok place for a quick lunch, nothing special or adventurous with withdrawn taste",0.4226190476190476,0.6178571428571429
"After they removed the vegan bowl and replaced king pao tofu (think it's called that, it was at least tofu with peanuts) it has become much more boring to eat there as a vegan",-0.26666666666666666,0.6333333333333333
Will unfortunately not eat there again …,0.25,1.0
"Always for good food, love my baked Sundays at chopchop it's hard to beat with a combo chow mein orange chicken with spicy lime chicken! Of course, spicy karage should be on the bill! Thank you so much for the times I …",-0.07152777777777779,0.6402777777777778
Best food place !!! Always eat here when I'm on my way somewhere or do not know what to eat,1.0,0.3
Super good all the time,0.5166666666666666,0.6333333333333333
Cozy and nice place to eat,0.2,0.875
"When it comes to food, it is really nothing more than ordinary home food",0.15,0.39999999999999997
"Fried rice tastes just like regular rice, kung pow tofu has a tasteless layer of rice flour that is saturated with oil with an odd …",-0.25555555555555554,0.408974358974359
Very good layout with the prevailing pandemic,0.9099999999999999,0.7800000000000001
The food was quick to get,0.3333333333333333,0.5
"Had recommended a friend.
5/5 Spicy chicken karaage …",-0.6,0.95
"Great food here, everyone suggests going here and eating, there is a lot to choose from and everything is really good and good service too! …",0.7916666666666666,0.65
"Very good food, friendly staff and very hygienic",0.49499999999999994,0.5266666666666667
Would definitely recommend to others to come here and eat! …,0.0,0.5
Very good food and it is quick to get the food,0.6216666666666666,0.6400000000000001
Good with screens where you can order yourself,0.7,0.6000000000000001
Very vegetarian to choose from,0.2,0.3
Very good food considering how fast it also goes 👍,0.5549999999999999,0.6900000000000001
personally more strong alternatives are desired,0.4666666666666667,0.6166666666666667
"Always just as good food at ChopChop, the spring rolls are too die for! …",0.875,0.6000000000000001
Absolutely fantastic Pad thai here at chop chop in Eskilstuna,0.4,0.9
Love that you can order via screens and that you can get your food quickly,0.41666666666666663,0.55
5 stars out of 5 possible,0.0,1.0
"Good food, relatively fast",0.44999999999999996,0.6000000000000001
Drive often through the drive-thru when I'm in the area! A little slow in the door and bad edge below which means that you can not drive so close when paying,-0.3958333333333333,0.5222222222222221
"Great place to be, the Asian furniture has constructive fast food restaurant! Tasty and good food as usual :) recommend orange chicken mmm 😋 …",0.19999999999999998,0.5928571428571429
This is my favorite restaurant because it is easy and smooth to chew on if you are going somewhere because it is usually located by the roads,0.27083333333333337,0.6458333333333334
What I also like about chopchop is that it is quick to prepare the food …,0.3333333333333333,0.5
They were very good,0.9099999999999999,0.7800000000000001
Very good food today we ate kimshu give me 1000 …,0.9099999999999999,0.7800000000000001
Ordered via the QR code in the parking lot,0.0,0.0
Be simple and go fast,0.1,0.47857142857142854
Good and tender food :) …,0.6,0.8
"Good food and nice place to be, also good and friendly staff",0.59375,0.675
The best food! Tastes really divine,0.6,0.25
"Eat here far too often,",0.1,1.0
it's so hard not to …,-0.2916666666666667,0.5416666666666666
Super fast and good service,0.41111111111111115,0.6222222222222222
Wipe the table at once when we told,0.0,0.0
Top rating! Good food all full and happy,0.6187499999999999,0.6625000000000001
"Friendly staff, helpful with questions about allergies",0.375,0.5
Lots of guests during our visit and hence a little longer waiting time,-0.1875,0.5
"order and order in the restaurant, appreciated! …",0.25,0.1
Really good food! Nice place with good service and nice environment,0.69375,0.8
Extra good with the orange chicken dish !!! 🤩 …,-0.10000000000000002,0.5499999999999999
"Gets the food in less than 3min, GOOD, FRESH",0.27777777777777773,0.3888888888888889
The best chain in town! Nothing beats chop chops orange chicken😍 …,1.0,0.3
"Fast, good and well-cooked food at a fantastic price for the amount of food you get",0.4333333333333333,0.7000000000000001
The quality and flavors were above my expectation,0.0,0.1
There will be more visits,0.5,0.5
Can highly recommend this restaurant,0.16,0.5399999999999999
Often a lot of people,0.0,0.0
good service and friendly staff,0.5375,0.55
A little taste poor food for and va Asian,-0.19583333333333333,0.3666666666666667
Especially the noodles,0.0,1.0
"The best food! Asså wants to marry the guy who made it, I'm a guy haha ​​",0.4666666666666666,0.2333333333333333
very good food …,0.9099999999999999,0.7800000000000001
"Always just as good, nice and comfortable environment.",0.5666666666666665,0.8000000000000002
"Top food and service, always full and satisfied when you leave here! …",0.4916666666666667,0.6833333333333332
"Super good restaurant, good food, friendly staff, fresh and clean environment, I am always super happy when I eat with you! Highly recommend Chop chop in Eskilstuna! …",0.47870370370370374,0.6414814814814815
Awesome food and service,1.0,1.0
You really get money for the food and the food you get quickly,0.26666666666666666,0.35
"The best Asian food I have eaten in a long time, just right with everything I love 👌 …",0.34714285714285714,0.36714285714285716
I think all the times I have visited chop chop in eskilstuna have been absolutely wonderful,1.0,1.0
Chop chop is an absolutely wonderful restaurant with the best food !!!! …,1.0,0.65
Always just as good food! Best Asian food on the market!,0.625,0.30000000000000004
"Snabbmat, helt okej smak",0.0,0.0
Ganska dyrt dock.,0.0,0.0
Fast and good express food on the road then you should choose ChopChop in all situations,0.44999999999999996,0.6000000000000001
The freshest ChopChop I've been to! Fast service and good Asian food,0.3,0.4000000000000001
Highly recommended …,0.16,0.5399999999999999
Nice staff and very good food! Will be happy to return.,0.8000000000000002,0.9266666666666667
"Very nice treatment by staff, got the food very quickly",0.6066666666666667,0.825
Good food takes some time to get,0.7,0.6000000000000001
always well received …,0.0,0.0
Not a bad eatery in the parking lot at the gas station,0.3499999999999999,0.6666666666666666
"The food is quite similar to the Asian one, of course with a Swedish adaptation",0.0,0.2
The menu is large enough and quite edible,0.10714285714285714,0.4642857142857143
Without any expectation of fine …,0.4166666666666667,0.5
I,0.0,0.0
t the food was really good! There was a good atmosphere in the restaurant! …,0.875,0.6000000000000001
"The place is not exciting, the food is good",0.27499999999999997,0.7000000000000001
Very nice when I came in with my assistance dog,0.78,1.0
So good service and really good food!,0.7875,0.6000000000000001
"Always good service, good food and fresh ingredients.",0.5666666666666667,0.5666666666666668
Good and fast finished,0.44999999999999996,0.6000000000000001
So nice to avoid a little hamburger 🤣 Easy to get into the car park with your camper …,0.28194444444444444,0.7777777777777778
"Good for being fast food, a little expensive just 🍚",0.05312499999999998,0.6000000000000001
"Large portions, recommend a combo with noodles, peanut chicken and spicy lime chicken! You are guaranteed to be full! …",-0.17455357142857142,0.719642857142857
"Good food,",0.7,0.6000000000000001
a little cold in my opinion.,-0.39375,0.75
"Very good food and nice decor, fresh and wonderful",0.7024999999999999,0.8200000000000001
"However, my father",0.0,0.0
t it was too cold in the room,-0.6,1.0
Fix the heat idiots,-0.8,0.8
Very nice staff and above all incredibly good food!,0.5516666666666666,0.5666666666666668
Good alternative to burgers,0.7,0.6000000000000001
"Totally ok,",0.5,0.5
not expensive,0.25,0.7
"So good food, nice sweet Linn",0.5499999999999999,0.75
Keeps even and good level for what it is!,0.875,0.6000000000000001
"Easy to park.
Friendly staff
Hot food …",0.3527777777777778,0.7277777777777779
Fantastic service and the food is really very good 😍,0.655,0.8400000000000001
Good food,0.7,0.6000000000000001
far too loud music,0.1,0.9
Do you want customers to stay as short as possible? The matron disappears with the high volume,0.05333333333333334,0.6133333333333333
Great food and pretty fast,0.4166666666666667,0.7833333333333333
lunch.,0.0,0.0
Service again ...,0.0,0.0
Packed wrong food several times,-0.25,0.45
Filthy inside with lots of leftovers and flies,-0.8,1.0
I have never been dissatisfied with ChopChop's food!,0.0,0.0
"Clean, fresh and good ..! So you can summarize the ChopChop restaurant",0.513888888888889,0.6000000000000001
Nice staff and real Asian kitchen staff,0.3,0.5
Good food as always in a nice environment,0.6499999999999999,0.8
The food was a little dry,-0.12708333333333333,0.55
the aura in the dinner hall was amazing …,0.6000000000000001,0.9
Spicy lime chicken and dynamite chicken are so awesome!,-0.06666666666666665,0.9666666666666667
It is good that you can combine as you wish.,0.7,0.6000000000000001
Feels fairly new,0.13636363636363635,0.45454545454545453
A BIG PLUS is all gone on the outside,0.0,0.07500000000000001
"The top! The food tastes like chopchop does,",0.625,0.5
"like it, you like the food",0.0,0.0
"Good and filling, calm music in the restaurant",0.5,0.675
"The design of the restaurant makes it feel like you are sitting quite separated from each other, which in turn contri",-0.125,0.375
"es to a calm and soothing experience, you largely …",0.2571428571428572,0.5892857142857143
Not the same quality as the others we have visited,0.0,0.125
Felt and tasted like mixing the sauces with water …,0.0,0.0
Totally ok tofu in gong bao sauce!,0.625,0.5
A slightly larger bowl / plate for the kids' meals facilitates eating and makes the experience better! 👍 …,0.3125,0.5
Incredibly good food especially noodles chicken!,-0.01666666666666668,0.85
Good food! But very crowded inside the tables.,0.5375,0.45000000000000007
Ate in Uppsala which was downright lousy,-0.5,0.5
"with Eskilstuna, the same food, the portions in Uppsala were badly hot and also smaller and tasteless",-0.0875,0.59375
Very good food and in good condition,0.8049999999999999,0.6900000000000002
Used to be more affordable,0.5,0.5
"No increase in quality, only price",0.0,1.0
"Fewer visits for me nowadays,",0.0,0.0
nice with other types of fast food,0.225,0.6583333333333333
"Spice Lime Chicken and Bangkok Beef, so good!",0.1375,0.775
Took way too long even,-0.05,0.4
there was no queue ...,0.0,0.0
Took way too long,-0.05,0.4
there was no queue ...,0.0,0.0
"significantly less with food in the box, cf",-0.16666666666666666,0.06666666666666667
"earlier and it was also the wrong right, which was discovered on returning home 25 minutes later ...",-0.053571428571428575,0.4839285714285714
Best vegan choices in town good and good service.,0.7999999999999999,0.5000000000000001
Not ok öht .....,-0.25,0.5
S,0.0,0.0
"ky staff, poor service, mediocre food and wait to get something to drink until the food is served ....
But they would have paid fast .......",-0.2333333333333333,0.7333333333333334
Good Matten ❤️,0.7,0.6000000000000001
Always long wait,-0.05,0.4
good food.,0.7,0.6000000000000001
Good alternative to burger or pizza when you want fast food …,0.44999999999999996,0.6000000000000001
We ate in the restaurant,0.0,0.0
"Fantastic good food, best restaurant style",0.7000000000000001,0.6
"Good food, fast service, clean in the restaurant",0.4222222222222222,0.6333333333333334
"Nice alternative to burgers, varies a bit how fast you get the food",0.4,0.8
never unacceptable waiting times,0.0,0.0
Good and filling every day of the week👌,0.7,0.6000000000000001
Good food and fast service,0.44999999999999996,0.6000000000000001
A bit messy with the self-service orders,-0.2,0.4
otherwise great,0.8,0.75
A bit messy with the self-service orders but,-0.2,0.4
great,0.8,0.75
Among the most disgusting I have eaten unfortunately ...,-0.3333333333333333,0.8333333333333334
"Easy to order from the car, skip the qr code, choose dishes and after about 5 minutes the food is delivered in a bag directly to the car window",0.26666666666666666,0.6166666666666667
The review applies to the restaurant in Eskilstuna,0.0,0.0
You do not get what you order and they are stingy,0.0,0.0
Restaurants in other places are better …,0.1875,0.4375
"Good food, fast and nice service",0.5,0.7333333333333334
Good food and really nice staff!,0.725,0.8
"You get full, and the food is good.
However, I think the portions have become smaller",0.3499999999999999,0.55
Very good and affordable food! As well as excellent service,1.0,0.8900000000000001
Recommended if you want something fast and good,0.44999999999999996,0.6000000000000001
This Chopchop has really gone down well,0.022222222222222213,0.24444444444444446
Almost everything tastes the same,0.0,0.125
The portions have decreased significantly,-0.012500000000000011,0.7875
It was my last visit there,0.0,0.06666666666666667
Nice thanks for the food Linnaeus,0.4,0.6
Great food! My new favorite restaurant,0.5454545454545454,0.7348484848484849
Chicken lime is recommended! …,-0.75,0.95
Fast service and good food,0.44999999999999996,0.6000000000000001
The favorite is Spicy Lime Chicken,-0.04999999999999999,0.975
But feel free to try Dynamite Chicken (exciting taste experience),0.03333333333333335,0.85
"If I'm in a hurry, I choose their drive trough",0.0,0.0
"Otherwise, there are plenty of places …",0.0,0.0
Good place to eat where you get the food easily and quickly,0.4888888888888889,0.6444444444444445
"we were very hungry so we thought that drive in had a bit too long a queue,",0.07500000000000001,0.35
the food was super good and fresh,0.4444444444444444,0.5888888888888889
we were very hungry so we,0.2,0.3
"t that drive in had a bit too long a queue, but the food was super good and fresh",0.3208333333333333,0.5416666666666667
"King Pao tofu, completely tasteless",-0.6,0.9
Much better in Strängnäs! Sad experience,0.0625,0.75
"Very varied freshness of the place if you eat there.
Taste the food? Yes the taste is different.ocg some dishes to choose from",0.2,0.3
,0.0,0.0
"perfectly ok, no superfood",0.5,0.5
..,0.0,0.0
"Usel service had to wait over 30 minutes for my food, there were 17 other people who came ordering, got their food and left",-0.0625,0.1875
"Also heard that more people order the same thing as me, asked why it was delayed, no …",0.25,0.3125
Sickly large portions,0.21428571428571427,0.42857142857142855
Enough for two people,0.0,0.5
Children's portions large enough,0.10714285714285714,0.4642857142857143
Fortune cookie for every meal,0.0,0.0
You can order at screens when you enter,0.0,0.0
"Every time I have been over, it has taken an incredibly long time from my arrival in the restaurant until I have food on the table",-0.05,0.4
Today it took just over 30 min! …,0.0,0.0
"The food is guaranteed to be good,",0.7,0.6000000000000001
putting back incorrectly prepared food so that the different dishes are mixed is perhaps not entirely okay considering allergies and the choice of different diets,-0.05,0.39
"Very good and good,",0.8049999999999999,0.6900000000000002
", you would need a gap when you have pre-ordered so you do not have to stand in line! …",0.0,0.0
Fast and friendly staff,0.2875,0.55
Even negative are the deep holes you drive down into when you pick up at the foreigner,-0.15185185185185188,0.362962962962963
The food was ok for fast food,0.35,0.55
not high enough quality of taste to cost as much as a regular Asian restaurant,-0.02,0.2792307692307692
So a little too expensive fast food simply,-0.121875,0.5392857142857143
Did not get with napkin and sticks on drive through,0.0,0.0
When I went back and asked about it I got the answer that it is on the note (a small note at the pick-up hatch) that you have to say if you want,-0.125,0.2
As a first-time …,0.0,0.0
"Great food, you get it fast, coffee on the food is included, there's drive thru, it's perfect simply! The portions are very large, for my part I always buy the kids menu and it is good enough for me",0.42551020408163265,0.623469387755102
Quite cheap …,0.4,0.7
Always a safe card!,0.625,0.5
Visit 2/2 was served chicken which rotated to one hundred percent,-0.6,0.95
The scent that spread around our table was admirable,0.0,0.0
Thankfully the food was exchanged and we got sick of it 2/5 stars,-0.7142857142857143,0.8571428571428571
The only thing I miss is a jack in the soy bag so it will be easier to open,0.0,0.75
"Otherwise, ChopChop is my new favorite",0.3181818181818182,0.7272727272727273
"Really good food, nice staff and cozy restaurant.",0.36666666666666664,0.7833333333333333
The orange chicken was not as fresh as it used to be for a while or a new chef,-0.05454545454545454,0.6348484848484849
they were tough,-0.3888888888888889,0.8333333333333334
The orange chicken was not as fresh as it used to be for a,-0.15,0.725
or a new chef but they were tough,-0.12626262626262627,0.6439393939393939
Then the portions have become smaller,0.0,0.5
"Otherwise, it was good",0.7,0.6000000000000001
Positively surprised at how good the food was,0.39999999999999997,0.75
Lots of food for little money,-0.1875,0.5
"Short waiting time, all right, large portions 😀
Nothing to complain about.
Will return …",0.16666666666666666,0.42142857142857143
