sentence,polarity,aspects
expensive for nothing so great actually,0.10000000000000002,nothing
"the dishes are so big, yes,",0.0,dish
not so tasty as one would think of,-0.25,one
nice decorations anyhow.,0.6,decorations
"very fresh premises but not worth 130 bucks for a regular plate.

extremely stingy with fries does not exaggerate when I say that I got at most 12 fries.

the sauce nothing special, the kebab well seasoned",0.0011904761904761956,"premise, buck, plate, fry, say, fry, sauce, nothing, kebab, well, season"
"would have liked to replace the mountain of iceberg lettuce with a normal portion of french fries.

compared to the other kebab hooks in the area, there is no reason to choose this other than the room.",0.25,"mountain, iceberg, lettuce, portion, fry, kebab, hook, area, reason, room"
"it is one of the worst places, the staff is really bad, they do not treat the people well",-0.8499999999999999,"place, staff, people"
I do not recommend it.,-0.5,
"good food, but nasty staff available at checkout, checkout staff the girl eats while she took the order, she did not focus on what we were going to order,
she is not the right person for the job.
when the staff would work at the checkout, you should welcome the customer with a smile and hear properly and talk in a nice way.
you have big problems with customer service at this restaurant.",0.1841269841269841,"food, staff, checkout, checkout, staff, girl, order, focus, order, person, job, staff, checkout, customer, smile, problems, customer, service, restaurant"
"some meat, expensive.
definitely not worth the money.",-0.325,"meat, money"
super good! recommends 👍👍,0.736111111111111,
pretty good kebab,0.475,kebab
would have liked more sauce (white and red),0.19999999999999998,"sauce, red"
fantastic and tasty food…,0.45,food…
really good food! highly recommended!,0.9375,food
"we came from finland to try it, and the food is really amazing! everything was just like in syria 😻😻
service was really helpful and good!",0.54375,"finland, try, food, service, good"
good food and excellent service,0.85,"food, service"
lots of food to choose from and very good 😋,0.7,"lot, food"
"the food is excellent, the food is delicious and the restaurant is very clean and tidy",0.7416666666666667,"food, food, restaurant"
i will visit it when i visit stockholm next time.,0.0,"stockholm, time"
"really tasty kebab and many other delicious dishes, one of the better ones kebabs in stockholm",0.625,"kebab, dish, ones, kebabs, stockholm"
"not the most cozy place and you do end up smelling a bit of fast food,",0.0,"place, end, smell, fast, food"
did i mention really tasty kebab?,0.5,kebab
people can not handle complain..poor service,-0.4,"people, service"
a bit overpriced,0.0,overprice
a rather tasty lunch was served.,0.5,lunch
a bit overpriced but a,0.0,overprice
tasty lunch was served.,0.5,lunch
okay local even after renovation.,0.25,renovation
horrible horrible service,-1.0,service
just felt like i was not welcome here in any way,0.09999999999999998,
the guy preparing my food was trying to make fun of me for some reason,0.3,"food, try, fun, reason"
i’m seriously confused,-0.3333333333333333,
i never rate places,-0.5,"rate, place"
"this was just like paying money for being insulted… so unless ur into that, avoid this horrible place.",-0.2,"money, insulted…, place"
the french fries are the best french fries i have ever eaten!,0.3333333333333333,"fry, fry"
when my sister and husband ordered something very terrible happened,-1.0,"sister, husband, order"
they did not get french fries in their order 😭 even though they had ordered it,0.0,"fry, order, order"
it became repayment,0.0,repayment
"the sister said, however, that her chicken tasted…: freshly slaughtered bird",0.15,"sister, chicken, tasted…, bird"
very pity so my husband had to eat her leftovers a few days later while we were watching oc,-0.13333333333333333,"pity, husband, leftovers, days"
as i said the fries are amazing! pity that the sister was not allowed to test (lives in gbg and visited us but we both tested positive for corona),0.19090909090909092,"fry, pity, sister, test, gbg, visit, corona"
"tasty, well grilled and nice food, clean place to sit.overall good experience.

recommended to others.",0.6333333333333334,"grill, food, place, experience, others"
