trg,cat
place,PLACE
staff,SERVICE
food,FOOD
portions,FOOD
foie gras terrine with figs,FOOD
duck confit,FOOD
price,PRICE
restaurant,PLACE
cart attendant,SERVICE
chow fun,FOOD
pork shu mai,FOOD
fish,FOOD
oysters,FOOD
restaurant saul,PLACE
service,SERVICE
decor,AMBIENCE
duck breast special,FOOD
thai fusion stuff,FOOD
grilled chicken special with edamame puree,FOOD
edamame pureed,FOOD
vent,AMBIENCE
spicy tuna roll,FOOD
rock shrimp tempura,FOOD
spot,PLACE
ambience,AMBIENCE
waiter,SERVICE
sea urchin,FOOD
sushi,FOOD
rice to fish ration,FOOD
half price sushi deal,FOOD
crowd,AMBIENCE
prix fixe menu,FOOD
dishes,FOOD
samosa,FOOD
chai,FOOD
chole,FOOD
dosa,FOOD
dhal,FOOD
kitchen,SERVICE
view,AMBIENCE
lava cake dessert,FOOD
cosette,AMBIENCE
french onion soup,FOOD
desserts,FOOD
pizza,FOOD
cheese,FOOD
ingredients,FOOD
crust,FOOD
meals,FOOD
seafood,FOOD
menu,FOOD
pastrami,FOOD
portion,FOOD
fried shrimp,FOOD
specials menus,FOOD
waitstaff,SERVICE
specials,FOOD
atmosphere,AMBIENCE
french bistro fare,FOOD
gnocchi,FOOD
hostess,SERVICE
wait,SERVICE
people,SERVICE
toppings,FOOD
lunch,FOOD
sauce,FOOD
waitress,SERVICE
block,PLACE
tuna of gari,FOOD
thai food,FOOD
planet thailand,PLACE
prices,PRICE
rolls,FOOD
sashimi,FOOD
crunchy tuna,FOOD
garden terrace,PLACE
steak tartare,FOOD
open kitchen,PLACE
vibe,AMBIENCE
french food,FOOD
neighborhood,PLACE
setting,AMBIENCE
mizu restaurant,PLACE
spicy scallop roll,FOOD
moules,FOOD
lobster ravioli,FOOD
head waiter,SERVICE
dessert,FOOD
chef specials,FOOD
downstairs lounge,PLACE
exotic food,FOOD
shows,AMBIENCE
actors,SERVICE
server,SERVICE
tuna,FOOD
wasabi potatoes,FOOD
outdoor atmosphere,AMBIENCE
fresh mozzarella,FOOD
appetizer selection,FOOD
wait staff,SERVICE
pie,FOOD
salad,FOOD
dining,FOOD
chicken pot pie,FOOD
cheeseburger,FOOD
bagels,FOOD
1st ave spot,PLACE
uni hand roll,FOOD
lobster teriyaki,FOOD
rose special roll,FOOD
pork belly,FOOD
