word,embedding,predCategory
food,"[ 0.47222   -0.44545   -0.51833   -0.26818    0.44427   -0.25108
 -0.99282   -0.90198    1.8729     0.039081   0.14284    0.074878
  1.0543    -0.3203     1.0722     0.44323    0.0099484  0.15754
  0.51399   -0.77668    0.924      0.010958   0.58815    0.23078
 -0.34281   -0.88444   -0.31492    0.12661    1.1445     0.60775
  3.4344     0.63561   -0.13832    0.28045   -0.16181    0.77541
 -0.49888    0.4602     0.91799    0.29007    0.06884    0.59978
  0.53967   -0.061752   1.2975     0.92323   -0.80945    0.34932
  0.33934    0.25499  ]",FOOD
restaurant,"[ 0.69607    0.42922   -1.0206     0.20534    0.94613   -0.8808
 -1.391     -0.063854   0.20051    0.067331  -0.69957   -0.44104
  0.41343    0.98698    0.48247   -0.20524    0.015262   0.81055
 -0.16189   -0.57772    1.4103     0.30844   -0.84441    1.4506
 -0.78245   -0.79539   -0.67531    0.87824    0.32835   -0.36903
  2.0142    -0.30928    0.078092   0.97173    0.33983    0.10481
  0.15796    0.5853     0.79749    0.4152     0.22678    0.53758
  0.0064708  0.060384   0.57345    0.28672   -0.91732   -0.74019
  0.81009    0.85844  ]",RESTAURANT
everything,"[ 1.1207e-01 -2.2921e-01 -3.6378e-04 -2.4240e-01  5.9360e-01 -1.9078e-01
 -4.1388e-01 -1.7628e-01 -4.3583e-02  4.0402e-01 -1.8370e-01  5.5425e-01
 -7.2711e-01  4.5503e-02  1.0036e+00  5.7577e-01  3.0914e-01  1.8026e-01
  6.1226e-01 -9.6671e-01  1.2878e-01  6.0311e-01  2.5658e-01 -2.5590e-02
  8.5986e-01 -1.5616e+00 -1.0016e+00  5.2673e-01  1.4417e+00 -1.0787e+00
  2.9459e+00  5.1601e-01 -5.0351e-01 -1.8082e-01 -4.5869e-01  3.8486e-01
 -6.2819e-02  4.9224e-01  2.3312e-01 -7.3370e-02 -8.7553e-02  4.9002e-02
  2.2472e-01  3.6751e-01  2.6409e-02  5.2038e-01 -3.3511e-02 -1.6314e-01
 -1.5554e-02  2.7371e-01]",AMBIENCE
smile,"[-0.078409  0.69917  -0.25106  -0.39339   0.95959  -0.14998   0.22645
  0.39141  -0.33114   0.98398  -0.212     0.35793   0.211     0.1782
 -0.065093  0.40597  -0.54485   0.25806  -0.046838 -0.56607  -0.79371
  1.461     0.31644  -0.49517   1.0434   -1.3671   -0.26372   1.7112
  0.64676  -0.87174   1.6197    0.69853   0.34052   0.25404  -0.65208
 -0.048741 -0.047842 -0.11243  -0.18974  -1.6706    0.63767   0.47774
 -1.0653    0.1806    0.43181  -0.70546   0.61853  -0.6347   -0.18732
  0.19669 ]",AMBIENCE
portions,"[ 0.48227  -0.088174 -0.16068  -0.17952  -0.20664   0.57533  -0.6133
  0.23252   0.65316  -0.4635   -0.90597  -0.39411   1.2622   -0.17194
 -0.51539   0.081732 -0.29869  -0.483     0.45339   0.010948  0.41225
 -0.7451    0.66734   0.30199  -0.31803  -0.46775  -0.37414   0.79305
  0.47956  -1.0058    2.1915   -0.92014   0.5953   -0.45968   0.27416
  0.43601  -0.093547  0.27096  -0.18519   0.11677  -0.1793    0.067786
  0.087467  0.094628 -1.3489    0.76284  -0.04576  -0.073979 -0.62093
 -0.23516 ]",FOOD
vegetarians,"[-0.43062  -0.78307  -0.7324   -1.5622    0.5156    0.3632    0.11662
 -1.1721    0.013714  0.76615   0.16546  -0.10446   1.2292    0.36771
  0.64781   0.44428   0.97065  -0.045328  0.49832  -0.41051  -0.41008
 -0.041012  0.7892    1.1795   -0.054116  0.30703  -0.25482  -0.49731
  0.083525  0.45252  -0.22835   0.71542  -0.22801   0.61273  -0.20001
 -0.49889   0.36981   0.63987  -0.16473   0.19207   0.058388 -0.3636
  0.6129    1.9793    1.0986    0.50456  -1.0098   -0.045369  0.24199
  0.22824 ]",FOOD
bore,"[ 0.74927   0.77299   0.59153  -0.38015   0.47607   1.3279    0.34756
  0.073679 -0.029077 -0.27308  -0.39279  -0.18217  -0.011022 -0.30358
 -0.53523  -0.45232  -0.86127  -0.093975 -0.39206  -0.33354  -0.63185
 -0.24601   0.36674  -0.93921   0.35022  -0.93972  -1.1096    0.80625
  0.56685  -0.31298   1.5001   -0.19595   0.30815   0.17266   0.5624
  0.26188   0.47558  -0.56885  -0.50131   0.19032   0.068464 -0.08689
 -0.16414  -0.24318   0.35567  -0.16285  -0.19932  -0.15608   0.35084
 -0.94226 ]",RESTAURANT
tofu,"[ 0.20942  -0.98482  -1.2391    0.40805   0.40512   0.39992   0.39522
 -0.24839  -0.24858   0.80005   0.086777  0.15108   1.1969    0.64186
  0.24014   0.31678   0.26551   0.21263   0.584    -0.18068   0.76082
 -0.59783   1.3591    0.4671   -0.63289   0.34119  -0.026011  0.80676
  0.76717  -1.0371    0.43321  -0.41427  -0.017847  1.4874   -0.70328
 -0.04138  -0.70141   1.2587    0.97321  -0.19749   0.83928  -0.062772
  0.15655   0.35019   1.6126    0.42649   0.33556   0.03666  -0.32958
  0.66026 ]",FOOD
terminal,"[ 1.8152e+00  1.0015e+00  2.7748e-01  1.9543e-01 -1.6711e-01 -1.1390e-01
 -4.4044e-01 -1.9816e-01  1.0109e+00 -1.0396e-01  5.6532e-01  2.0388e-01
  1.9882e-01  2.9590e-01 -3.8629e-01  8.4928e-01 -8.7977e-01  7.6528e-01
 -7.7675e-01  3.1256e-01  6.3667e-01 -6.7245e-01 -1.0632e+00  4.1486e-01
 -4.0794e-01 -8.1928e-01  1.2718e+00  9.5225e-01  8.1912e-01 -8.7564e-02
  2.0749e+00  8.9846e-02  8.0083e-01 -4.1498e-02  5.3868e-01  1.0448e-01
  1.0871e+00 -8.1367e-02  5.5838e-02  1.2738e+00  1.4069e-01 -5.9135e-04
 -4.1666e-02  1.4371e-01 -2.5154e-01  2.2949e-01 -6.6315e-02 -5.5273e-01
 -5.4902e-02  3.0407e-01]",RESTAURANT
rest,"[ 0.48021   0.052461 -0.075499 -0.49294   0.56293  -0.13394  -0.6687
  0.57151  -0.12299  -0.41295   0.21995  -0.012016 -0.2464   -0.21704
  0.49805   0.52421   0.19902  -0.14816  -0.22035  -0.20401  -0.22217
  0.1369    0.32133   0.2509    0.17578  -1.1599   -0.047711  0.23753
  0.6222   -0.27197   3.3579    0.66388   0.054773  0.047149  0.081288
  0.12085   0.062961  0.36136   0.11847  -0.28224  -0.53443  -0.24501
  0.16648   0.21954  -0.6158    0.28791  -0.13205  -0.37609  -0.47475
 -0.16401 ]",RESTAURANT
money,"[ 0.59784  -0.057026  0.97746  -0.58504   0.37386   0.036373 -0.67548
 -0.090134  0.33473   0.4612   -0.70586   0.88032  -0.1532   -0.59041
  1.0221   -0.20335   0.80479   0.23907   0.51985  -0.34106   1.1747
 -0.44956   0.19799  -0.25137  -0.59436  -2.2372   -0.15901  -0.39896
  0.4188   -0.67741   3.3433    0.98779  -0.023405  0.14755  -0.46205
  0.34545  -0.77937   0.32595   0.6553   -1.0528   -0.19255   0.22296
  0.2518    0.71563  -0.47951  -0.95866  -0.79283   0.20869   0.16084
  0.24745 ]",SERVICE
spice,"[-0.021703  0.10379  -1.5479    1.0051    0.56242   0.45568  -0.50276
  0.0919    0.20631   0.61927   0.24565   0.50189   0.34585   0.018292
  0.27811   0.65849  -0.021452  0.44214   0.10335  -0.56159   0.45562
  0.91697   0.65537   1.3549   -0.49648   0.075129 -0.28303   0.56534
  1.1016   -0.23286   1.4432   -0.17168  -0.19221   1.0748    1.0617
  0.28313  -1.0934   -0.46672   0.19423  -0.81213   0.73887   0.3197
  0.12668  -0.64489   0.68038   1.0303    0.47785  -0.23213  -0.046038
 -0.30561 ]",FOOD
crowd,"[-0.24585  -0.18828   0.26371  -0.56558   0.77692  -1.2504   -0.49728
  0.79377  -0.91993   0.47083  -0.50922  -1.8162    0.23097  -0.20759
  0.56713  -0.46153   0.21881   0.47936  -1.3237   -1.7085   -0.25864
  0.80339  -0.4328    0.070275  0.27848  -1.117     0.11854   0.89925
 -0.14778  -0.67549   2.339     1.3511    0.29789  -0.32637  -1.0858
  0.084205  0.47118  -0.26416  -0.32694  -0.14889   0.28576   0.73772
 -1.0984    0.41887   0.88004  -0.091279 -0.69063  -0.75951  -0.95365
 -0.44846 ]",AMBIENCE
times,"[-0.39921   0.63609   0.3401   -0.14305  -0.11966  -0.4832   -0.87891
 -0.19646  -0.42128  -0.23169  -0.50591  -0.093337 -0.30098  -0.14887
  1.2242   -0.11392  -0.59522  -0.48003  -0.98778   0.033121  0.17605
  0.2695    0.96337   0.25842   0.44454  -1.4805   -0.47694   0.040743
  0.15592   0.23329   3.3342   -0.1008    0.85134  -0.29978  -0.14765
 -0.37207   0.093149  0.30571  -0.036654  0.12316   0.012305  0.43128
  0.4405    0.58298  -0.39951   0.21648  -0.13706  -0.01493  -0.19099
  0.24173 ]",SERVICE
chop,"[-0.56476  -1.0713   -0.25917  -0.7202    0.52622  -0.14499   0.93666
  0.05014  -0.4667   -0.29323  -1.1307    0.15707   0.78347  -0.11742
  0.039849 -0.025151  0.48314   0.82922   0.37393  -0.45673   0.48201
 -1.0525    0.84072   0.03867  -0.28044  -0.43798   0.65543   0.72292
  0.85396  -1.5699    1.2471   -0.23667  -0.043003  1.4603   -0.39197
  1.1453   -0.11524   0.27317   0.77873  -0.65694   0.33305  -0.078568
 -0.23827  -0.27595   1.3151    0.45673   0.90704  -0.37445  -0.79857
  0.53119 ]",FOOD
taste,"[-0.25826    0.20755   -1.8089    -0.0045707  1.002      0.30873
  0.23493    0.13954   -0.16455    1.1608     0.12976    0.39695
  0.9664    -0.22466    0.20641    0.22372   -0.043133   0.26844
 -0.090198  -1.213     -0.20942    0.19578    1.1608     0.41065
 -0.088691  -0.77222   -1.1368     0.98575    1.5428    -0.05683
  2.2402     0.63528   -0.072622  -0.23851    0.29049    0.12906
 -1.1139     0.89749    0.55485   -0.77596    0.71329    0.062237
 -0.13661    0.19611    0.58233    1.5621     0.2034     0.23999
 -0.032633   0.28185  ]",FOOD
coziness,"[ 0.21243   0.32915  -0.92359  -0.17745  -0.70475   0.28608   0.60187
  0.21105   0.028333  0.32715  -0.49048   0.27372   0.05304   0.21765
 -0.649     0.16239  -0.1166    0.31597   1.0572   -0.7382    0.13975
  0.30859  -0.45387  -0.30391  -0.31828   0.072726 -0.33528   0.99112
  0.64169   1.0353   -0.79597   0.60296   0.22272  -0.10076  -0.47101
 -0.085493 -1.1752   -0.26037  -0.39402   0.1018    0.053885  0.0942
 -0.34996   1.0179   -0.14431  -0.27682  -0.2169    0.57436  -0.44807
 -0.42049 ]",AMBIENCE
get,"[ 0.1591   -0.21428   0.63099  -0.5995    0.31248  -0.16615  -0.90548
  0.45115   0.051568  0.2591   -0.32882   0.48155  -0.34982   0.12905
  1.0758    0.4869    0.5342    0.059762  0.2166   -1.1059   -0.25591
  0.57462   0.54562   0.31043   0.37765  -2.0337   -0.22496   0.18447
  0.82587  -1.1991    3.6042    1.1605   -0.59787   0.13      0.15678
  0.13166   0.1851    0.36308   0.57538  -0.89593  -0.36366   0.28397
  0.048614  0.7878   -0.087311 -0.23394  -0.14237   0.021215 -0.14219
  0.66955 ]",SERVICE
selection,"[-0.50662   0.42114  -0.9595    0.48103   0.58407   0.15301  -0.78309
 -0.22134   0.63741  -0.10424  -0.093198 -0.10208   0.08777   0.36724
  0.58213  -0.1187    0.16887  -0.53438  -0.29597  -0.95451  -0.018914
 -0.53561   0.33821   0.10433  -0.28613  -0.77923  -0.44348  -0.079309
 -0.87128   0.04263   2.1718   -0.037152 -0.57611  -1.1877    0.93289
  0.14743   0.47293   1.2644   -0.96186  -0.86668  -0.18246   0.11986
 -0.81525   0.41135  -0.15889   0.17894   0.23651   0.99998   0.25119
  0.42278 ]",FOOD
face,"[-0.051524   0.25137   -0.14722   -0.061506   0.32593    0.38156
  0.55556    0.62217   -0.16847   -0.21296   -0.28909   -0.15927
 -0.65887    0.083074   0.58494    0.0089347  0.11029   -0.81686
 -0.15163   -0.78485   -0.78144    0.21021   -0.034455  -0.2988
 -0.46719   -2.1546     0.15288    0.50366    0.3593    -0.12171
  2.9504     0.76009    0.025124  -0.36938   -0.40831    0.40751
 -0.16736   -0.15224   -0.09004   -1.3537    -0.24557    0.53153
  0.56965    0.18923    0.61818    0.066045  -0.029378  -0.40707
  0.0065966 -0.61169  ]",RESTAURANT
put,"[ 0.076143 -0.24717   0.40116  -0.44052   0.47109  -0.1377   -0.71907
  0.13098  -0.17572  -0.03577  -0.25182   0.22588  -0.76386   0.24249
  0.46617   0.10661   0.42314  -0.54628  -0.23715  -0.65187  -0.077369
  0.28766   0.10809  -0.45786   0.067866 -1.8636    0.1389    0.17133
  0.24996  -0.6366    3.2279    0.56937  -0.653     0.055097 -0.28294
  0.17188   0.17931   0.49549   0.33623  -0.49653   0.10105   0.1834
  0.095534  0.049611 -0.028313  0.27312  -0.24849   0.14717   0.11502
 -0.25162 ]",RESTAURANT
lime,"[ 0.1318    0.11818  -0.90721   0.56983  -0.15258   0.24428   0.37244
  0.53009  -0.74977   0.71871  -0.53621   0.30442   0.89923  -0.72826
 -0.99376  -0.32483   0.154     0.65068   0.30072  -1.5563    0.40064
 -0.82598   1.1242   -0.053482 -1.1803    0.66115   0.19076   1.6306
  1.309    -0.70745   1.8437   -1.0466   -0.35273   0.88918   0.7381
  0.55274  -0.50971   0.15592   1.0258   -0.72322   0.80169  -0.62647
 -0.63935  -0.74294   0.97646   0.74981  -0.18559  -1.0847    0.53909
 -0.43643 ]",FOOD
cashews,"[-0.77637   -0.67719   -0.35681    0.70258    0.48602    0.62431
  1.0533    -0.4638    -0.1363    -0.37718   -0.45057    0.099875
  0.64725   -0.58914    1.0529     0.82179    0.15523    0.87431
  0.67134   -0.45656    0.30676   -0.5475     1.5446     0.44477
 -0.074619   0.78076    0.73675    0.81337    1.1534     0.17923
 -0.56297    0.90649    0.26427    0.96142    0.21561    0.95328
 -0.7827     0.28926   -0.11623   -0.60798    0.084425  -0.0098813
  0.40301   -0.39794    0.60628    2.2675    -0.22581    0.45704
 -0.25457   -0.87141  ]",FOOD
something,"[ 0.39533   -0.0064782 -0.26112   -0.32292    0.96181    0.11242
 -0.30927    0.17085   -0.38948    0.77584   -0.31334    0.54971
 -0.4579     0.05835    1.0643     0.57949    0.74198    0.22064
  0.11507   -0.84422   -0.43365    0.52626    0.067037   0.16294
  1.1345    -2.0336    -1.211      0.69115    1.418     -0.80188
  3.0172     0.36111   -0.38275   -0.51099   -0.19531   -0.16375
 -0.024037   0.32332   -0.0070115 -0.49139   -0.28394    0.06881
 -0.11819    0.47825    0.16551    0.29805    0.010174   0.20346
 -0.13682    0.79782  ]",AMBIENCE
amount,"[ 0.42728   0.359     0.58117  -0.38637   0.64606   0.55008   0.5438
  0.091705  0.74538   1.0144    0.19015   0.075923  0.93661  -1.0905
  1.1815    0.10659   0.6086    0.12313  -0.30979  -0.95343   0.70141
 -0.98911   0.79058  -0.88949  -0.30146  -1.2473   -0.39267   0.37167
  0.81953   0.32513   3.3785    0.26033   0.42371  -0.37986  -0.015874
  0.17326   0.12498   0.35589   0.58902  -0.30885   0.15257   0.18703
  0.2448    0.6097   -0.93977  -0.8384   -0.38606   1.0611   -0.034687
  0.13568 ]",FOOD
touch,"[-0.058468  0.019087  0.089056  0.062676  0.69872  -0.092907 -0.020939
 -0.11669  -0.080309  0.65697   0.13225   0.39821   0.12768   0.37758
 -0.1805    0.40173  -0.26147  -0.17779  -0.037743 -0.97352  -0.29769
  1.0247    0.17633   0.12519   0.83006  -1.1597   -0.49067   0.34673
  0.52678  -0.56979   2.5564    0.53719  -0.25596  -0.059801 -0.039592
  0.32231  -0.036     0.33535  -0.082993 -0.87934   0.87299   0.51219
 -0.23057   0.32187   0.23313   0.49166   0.65666  -0.28176   0.045137
 -0.18802 ]",AMBIENCE
one,"[ 0.31474   0.41662   0.1348    0.15854   0.88812   0.43317  -0.55916
  0.030476 -0.14623  -0.14273  -0.17949  -0.17343  -0.49264   0.26775
  0.48799  -0.29537   0.18485   0.14937  -0.75009  -0.35651  -0.23699
  0.1849    0.17237   0.23611   0.14077  -1.9031   -0.65353  -0.022539
  0.10383  -0.43705   3.781    -0.044077 -0.046643  0.027274  0.51883
  0.13353   0.23231   0.25599   0.060888 -0.065618 -0.15556   0.30818
 -0.093586  0.33296  -0.14613   0.016332 -0.24251  -0.20526   0.07009
 -0.11568 ]",LOCATION
